index,FIPS code,Year,Hail Reports,Wind Reports
0,17013,1955,0,0
1,17013,1956,0,0
2,17013,1957,0,0
3,17013,1958,0,0
4,17013,1959,0,0
5,17013,1960,0,0
6,17013,1961,0,0
7,17013,1962,0,0
8,17013,1963,0,0
9,17013,1964,0,0
10,17013,1965,0,0
11,17013,1966,0,0
12,17013,1967,0,0
13,17013,1968,0,0
14,17013,1969,0,0
15,17013,1970,0,0
16,17013,1971,0,0
17,17013,1972,0,0
18,17013,1973,0,0
19,17013,1974,0,1
20,17013,1975,0,0
21,17013,1976,0,0
22,17013,1977,0,1
23,17013,1978,0,0
24,17013,1979,0,0
25,17013,1980,0,0
26,17013,1981,0,0
27,17013,1982,0,2
28,17013,1983,1,1
29,17013,1984,0,3
30,17013,1985,0,0
31,17013,1986,1,0
32,17013,1987,0,0
33,17013,1988,0,2
34,17013,1989,0,1
35,17013,1990,0,2
36,17013,1991,0,1
37,17013,1992,0,5
38,17013,1993,0,0
39,17013,1994,0,2
40,17013,1995,0,2
41,17013,1996,4,2
42,17013,1997,0,0
43,17013,1998,3,5
44,17013,1999,0,2
45,17013,2000,0,7
46,17013,2001,0,3
47,17013,2002,2,4
48,17013,2003,2,0
49,17013,2004,2,3
50,17013,2005,1,2
51,17013,2006,3,4
52,17013,2007,0,4
53,17013,2008,2,1
54,17013,2009,0,1
55,17013,2010,1,0
56,17013,2011,2,0
57,17013,2012,1,0
58,17013,2013,0,1
59,17013,2014,1,0
60,17013,2015,0,1
61,17013,2016,1,4
62,17013,2017,0,0
63,17013,2018,1,3
64,17013,2019,1,2
65,17013,2020,0,0
66,17013,2021,1,3
67,17013,2022,0,0
68,17013,2023,2,1
69,17013,2024,0,0
70,17061,1955,0,2
71,17061,1956,0,0
72,17061,1957,0,0
73,17061,1958,0,2
74,17061,1959,0,0
75,17061,1960,0,0
76,17061,1961,0,0
77,17061,1962,0,1
78,17061,1963,1,0
79,17061,1964,0,0
80,17061,1965,0,0
81,17061,1966,0,0
82,17061,1967,0,1
83,17061,1968,0,0
84,17061,1969,0,0
85,17061,1970,0,0
86,17061,1971,0,0
87,17061,1972,0,0
88,17061,1973,0,0
89,17061,1974,0,0
90,17061,1975,0,1
91,17061,1976,0,1
92,17061,1977,0,0
93,17061,1978,0,0
94,17061,1979,0,0
95,17061,1980,1,2
96,17061,1981,0,0
97,17061,1982,0,1
98,17061,1983,0,1
99,17061,1984,0,2
100,17061,1985,0,1
101,17061,1986,0,2
102,17061,1987,0,1
103,17061,1988,1,3
104,17061,1989,1,0
105,17061,1990,0,1
106,17061,1991,0,1
107,17061,1992,1,4
108,17061,1993,1,0
109,17061,1994,1,1
110,17061,1995,1,2
111,17061,1996,3,0
