County,State Abbrev,County Cap SED,County Alt SED,State Name Cap SED,FIPS code,Metro Area,Census Geographic Area
Calhoun,IL,CALHOUN,,ILLINOIS,17013,St. Louis,"Calhoun County, Illinois"
Greene,IL,GREENE,,ILLINOIS,17061,St. Louis,"Greene County, Missouri"
Jersey,IL,JERSEY,,ILLINOIS,17083,St. Louis,"Jersey County, Illinois"
Madison,IL,MADISON,,ILLINOIS,17119,St. Louis,"Madison County, Missouri"
Monroe,IL,MONROE,,ILLINOIS,17133,St. Louis,"Monroe County, Missouri"
Randolph,IL,RANDOLPH,,ILLINOIS,17157,St. Louis,"Randolph County, Missouri"
St. Clair,IL,ST. CLAIR,ST. CLAIR (C),ILLINOIS,17163,St. Louis,"St Clair County, Illinois"
Washington,IL,WASHINGTON,,ILLINOIS,17189,St. Louis,"Washington County, Illinois"
Atchison,KS,ATCHISON,,KANSAS,20005,Kansas City,"Atchison County, Kansas"
Douglas,KS,DOUGLAS,,KANSAS,20045,Kansas City,"Douglas County, Kansas"
Franklin,KS,FRANKLIN,,KANSAS,20059,Kansas City,"Franklin County, Kansas"
Jefferson,KS,JEFFERSON,,KANSAS,20087,Kansas City,"Jefferson County, Kansas"
Johnson,KS,JOHNSON,,KANSAS,20091,Kansas City,"Johnson County, Kansas"
Leavenworth,KS,LEAVENWORTH,,KANSAS,20103,Kansas City,"Leavenworth County, Kansas"
Miami,KS,MIAMI,,KANSAS,20121,Kansas City,"Miami County, Kansas"
Wyandotte,KS,WYANDOTTE,,KANSAS,20209,Kansas City,"Wyandotte County, Kansas"
Cass,MO,CASS,,MISSOURI,29037,Kansas City,"Cass County, Missouri"
Clay,MO,CLAY,,MISSOURI,29047,Kansas City,"Clay County, Missouri"
Clinton,MO,CLINTON,,MISSOURI,29049,Kansas City,"Clinton County, Missouri"
Crawford,MO,CRAWFORD,,MISSOURI,29055,St. Louis,"Crawford County, Missouri"
Franklin,MO,FRANKLIN,,MISSOURI,29071,St. Louis,"Franklin County, Missouri"
Gasconade,MO,GASCONADE,,MISSOURI,29073,St. Louis,"Gasconade County, Missouri"
Jackson,MO,JACKSON,,MISSOURI,29095,Kansas City,"Jackson County, Missouri"
Jefferson,MO,JEFFERSON,,MISSOURI,29099,St. Louis,"Jefferson County, Missouri"
Johnson,MO,JOHNSON,,MISSOURI,29101,Kansas City,"Johnson County, Missouri"
Lafayette,MO,LAFAYETTE,,MISSOURI,29107,Kansas City,"Lafayette County, Missouri"
Lincoln,MO,LINCOLN,,MISSOURI,29113,St. Louis,"Lincoln County, Missouri"
Montgomery,MO,MONTGOMERY,,MISSOURI,29139,St. Louis,"Montgomery County, Missouri"
Platte,MO,PLATTE,,MISSOURI,29165,Kansas City,"Platte County, Missouri"
Ray,MO,RAY,,MISSOURI,29177,Kansas City,"Ray County, Missouri"
St. Charles,MO,ST. CHARLES,ST. CHARLES (C),MISSOURI,29183,St. Louis,"St Charles County, Missouri"
St. Francois,MO,ST. FRANCOIS,ST. FRANCOIS (C),MISSOURI,29187,St. Louis,"St Francois County, Missouri"
St. Louis,MO,ST. LOUIS,ST. LOUIS (C),MISSOURI,29189,St. Louis,"St Louis County, Missouri"
Ste. Genevieve,MO,STE. GENEVIEVE,STE. GENEVIEVE (C),MISSOURI,29186,St. Louis,"Ste Genevieve County, Missouri"
Warren,MO,WARREN,,MISSOURI,29219,St. Louis,"Warren County, Missouri"
Washington,MO,WASHINGTON,,MISSOURI,29221,St. Louis,"Washington County, Missouri"
Blaine,OK,BLAINE,,OKLAHOMA,40011,OKC,"Blaine County, Oklahoma"
Caddo,OK,CADDO,,OKLAHOMA,40015,OKC,"Caddo County, Oklahoma"
Canadian,OK,CANADIAN,,OKLAHOMA,40017,OKC,"Canadian County, Oklahoma"
Cherokee,OK,CHEROKEE,,OKLAHOMA,40021,Tulsa ,"Cherokee County, Oklahoma"
Cleveland,OK,CLEVELAND,,OKLAHOMA,40027,OKC,"Cleveland County, Oklahoma"
Craig,OK,CRAIG,,OKLAHOMA,40035,Tulsa ,"Craig County, Oklahoma"
Creek,OK,CREEK,,OKLAHOMA,40037,Tulsa ,"Creek County, Oklahoma"
Garvin,OK,GARVIN,,OKLAHOMA,40049,OKC,"Garvin County, Oklahoma"
Grady,OK,GRADY,,OKLAHOMA,40051,OKC,"Grady County, Oklahoma"
Kingfisher,OK,KINGFISHER,,OKLAHOMA,40073,OKC,"Kingfisher County, Oklahoma"
Lincoln,OK,LINCOLN,,OKLAHOMA,40081,OKC,"Lincoln County, Oklahoma"
Logan,OK,LOGAN,,OKLAHOMA,40083,OKC,"Logan County, Oklahoma"
Mayes,OK,MAYES,,OKLAHOMA,40097,Tulsa ,"Mayes County, Oklahoma"
Mcclain,OK,MCCLAIN,,OKLAHOMA,40087,OKC,"McClain County, Oklahoma"
Muskogee,OK,MUSKOGEE,,OKLAHOMA,40101,Tulsa ,"Muskogee County, Oklahoma"
Nowata,OK,NOWATA,,OKLAHOMA,40105,Tulsa ,"Nowata County, Oklahoma"
Oklahoma,OK,OKLAHOMA,,OKLAHOMA,40109,OKC,"Oklahoma County, Oklahoma"
Okmulgee,OK,OKMULGEE,,OKLAHOMA,40111,Tulsa ,"Okmulgee County, Oklahoma"
Osage,OK,OSAGE,,OKLAHOMA,40113,Tulsa ,"Osage County, Oklahoma"
Pawnee,OK,PAWNEE,,OKLAHOMA,40117,Tulsa ,"Pawnee County, Oklahoma"
