,Geographic Area,"April 1, 2020 Estimates Base",2020,2021,2022,2023
604,"Calhoun County, Illinois","4,438","4,407","4,395","4,353","4,317"
639,"Jersey County, Illinois","21,518","21,494","21,349","21,191","21,091"
679,"St Clair County, Illinois","257,412","256,844","254,958","252,265","251,018"
692,"Washington County, Illinois","13,758","13,723","13,640","13,623","13,536"
893,"Atchison County, Kansas","16,347","16,328","16,236","16,053","16,016"
913,"Douglas County, Kansas","118,779","118,784","119,493","120,007","120,553"
920,"Franklin County, Kansas","25,983","26,000","26,002","25,959","26,125"
934,"Jefferson County, Kansas","18,360","18,323","18,429","18,354","18,327"
936,"Johnson County, Kansas","609,877","611,149","614,889","619,091","622,237"
942,"Leavenworth County, Kansas","81,901","81,966","82,398","82,922","83,518"
951,"Miami County, Kansas","34,193","34,224","34,641","34,791","35,320"
995,"Wyandotte County, Kansas","169,231","168,914","167,262","165,626","165,281"
1504,"Cass County, Missouri","107,823","108,161","109,780","110,357","111,732"
1509,"Clay County, Missouri","253,329","254,137","255,871","256,930","259,772"
1510,"Clinton County, Missouri","21,176","21,209","21,213","21,303","21,548"
1513,"Crawford County, Missouri","23,054","23,035","22,820","22,659","22,719"
1521,"Franklin County, Missouri","104,689","104,864","105,307","105,793","106,404"
1522,"Gasconade County, Missouri","14,794","14,763","14,780","14,772","14,705"
1524,"Greene County, Missouri","298,913","299,328","301,098","303,197","304,611"
1533,"Jackson County, Missouri","717,216","717,615","717,875","716,218","718,560"
1535,"Jefferson County, Missouri","226,569","226,937","227,993","229,220","231,230"
1536,"Johnson County, Missouri","54,010","54,031","54,194","54,449","54,962"
1539,"Lafayette County, Missouri","32,983","33,055","32,834","32,967","33,196"
1542,"Lincoln County, Missouri","59,578","59,854","61,640","63,182","64,699"
1547,"Madison County, Missouri","12,626","12,626","12,664","12,757","12,698"
1554,"Monroe County, Missouri","8,662","8,687","8,701","8,635","8,698"
1555,"Montgomery County, Missouri","11,312","11,281","11,433","11,479","11,459"
1568,"Platte County, Missouri","106,733","107,193","108,744","110,570","111,940"
1573,"Randolph County, Missouri","24,707","24,448","24,563","24,626","24,109"
1574,"Ray County, Missouri","23,161","23,133","23,089","23,121","23,182"
1577,"St Charles County, Missouri","405,271","406,417","410,465","413,798","416,659"
1579,"Ste Genevieve County, Missouri","18,478","18,476","18,569","18,613","18,642"
1580,"St Francois County, Missouri","66,919","66,443","67,010","66,906","67,058"
1581,"St Louis County, Missouri","1,004,305","1,003,130","998,439","990,791","987,059"
1594,"Warren County, Missouri","35,528","35,732","36,551","37,290","37,806"
1595,"Washington County, Missouri","23,515","23,424","23,392","23,392","23,534"
2139,"Blaine County, Oklahoma","8,728","8,701","8,547","8,445","8,539"
2141,"Caddo County, Oklahoma","26,944","26,909","26,461","26,237","26,214"
2142,"Canadian County, Oklahoma","154,151","155,434","161,999","169,254","175,829"
2144,"Cherokee County, Oklahoma","47,080","47,096","47,659","48,074","48,185"
2147,"Cleveland County, Oklahoma","295,525","296,236","298,110","299,484","301,193"
2151,"Craig County, Oklahoma","14,106","14,141","14,201","14,176","14,494"
2152,"Creek County, Oklahoma","71,752","71,841","72,224","72,686","73,332"
2158,"Garvin County, Oklahoma","25,655","25,647","25,770","25,771","25,865"
2159,"Grady County, Oklahoma","54,803","54,881","55,595","56,648","57,375"
2170,"Kingfisher County, Oklahoma","15,190","15,178","15,223","15,228","15,481"
2174,"Lincoln County, Oklahoma","33,460","33,498","33,846","34,134","34,562"
2175,"Logan County, Oklahoma","49,545","49,736","50,900","51,924","53,029"
2177,"McClain County, Oklahoma","41,664","41,914","43,535","45,410","47,072"
2182,"Mayes County, Oklahoma","39,050","39,059","39,259","39,570","39,889"
2184,"Muskogee County, Oklahoma","66,348","66,246","66,267","66,307","66,677"
2186,"Nowata County, Oklahoma","9,320","9,320","9,352","9,413","9,438"
