,FIPS code,SED location,Census location,Metro Area
0,17013,"CALHOUN, ILLINOIS","Calhoun County, Illinois",St. Louis
1,17061,"GREENE, ILLINOIS","Greene County, Missouri",St. Louis
2,17083,"JERSEY, ILLINOIS","Jersey County, Illinois",St. Louis
3,17119,"MADISON, ILLINOIS","Madison County, Missouri",St. Louis
4,17133,"MONROE, ILLINOIS","Monroe County, Missouri",St. Louis
5,17157,"RANDOLPH, ILLINOIS","Randolph County, Missouri",St. Louis
6,17163,"ST. CLAIR, ILLINOIS","St Clair County, Illinois",St. Louis
7,17189,"WASHINGTON, ILLINOIS","Washington County, Illinois",St. Louis
8,20005,"ATCHISON, KANSAS","Atchison County, Kansas",Kansas City
9,20045,"DOUGLAS, KANSAS","Douglas County, Kansas",Kansas City
10,20059,"FRANKLIN, KANSAS","Franklin County, Kansas",Kansas City
11,20087,"JEFFERSON, KANSAS","Jefferson County, Kansas",Kansas City
12,20091,"JOHNSON, KANSAS","Johnson County, Kansas",Kansas City
13,20103,"LEAVENWORTH, KANSAS","Leavenworth County, Kansas",Kansas City
14,20121,"MIAMI, KANSAS","Miami County, Kansas",Kansas City
15,20209,"WYANDOTTE, KANSAS","Wyandotte County, Kansas",Kansas City
16,29037,"CASS, MISSOURI","Cass County, Missouri",Kansas City
17,29047,"CLAY, MISSOURI","Clay County, Missouri",Kansas City
18,29049,"CLINTON, MISSOURI","Clinton County, Missouri",Kansas City
19,29055,"CRAWFORD, MISSOURI","Crawford County, Missouri",St. Louis
20,29071,"FRANKLIN, MISSOURI","Franklin County, Missouri",St. Louis
21,29073,"GASCONADE, MISSOURI","Gasconade County, Missouri",St. Louis
22,29095,"JACKSON, MISSOURI","Jackson County, Missouri",Kansas City
23,29099,"JEFFERSON, MISSOURI","Jefferson County, Missouri",St. Louis
24,29101,"JOHNSON, MISSOURI","Johnson County, Missouri",Kansas City
25,29107,"LAFAYETTE, MISSOURI","Lafayette County, Missouri",Kansas City
26,29113,"LINCOLN, MISSOURI","Lincoln County, Missouri",St. Louis
27,29139,"MONTGOMERY, MISSOURI","Montgomery County, Missouri",St. Louis
28,29165,"PLATTE, MISSOURI","Platte County, Missouri",Kansas City
29,29177,"RAY, MISSOURI","Ray County, Missouri",Kansas City
30,29183,"ST. CHARLES, MISSOURI","St Charles County, Missouri",St. Louis
31,29187,"ST. FRANCOIS, MISSOURI","St Francois County, Missouri",St. Louis
32,29189,"ST. LOUIS, MISSOURI","St Louis County, Missouri",St. Louis
33,29186,"STE. GENEVIEVE, MISSOURI","Ste Genevieve County, Missouri",St. Louis
34,29219,"WARREN, MISSOURI","Warren County, Missouri",St. Louis
35,29221,"WASHINGTON, MISSOURI","Washington County, Missouri",St. Louis
