,Geographic Area,"April 1, 2020 Estimates Base",2020,2021,2022,2023,Unnamed: 0,FIPS code,SED location,Census location
0,"Calhoun County, Illinois","4,438","4,407","4,395","4,353","4,317",0,17013,"CALHOUN, ILLINOIS","Calhoun County, Illinois"
1,"Jersey County, Illinois","21,518","21,494","21,349","21,191","21,091",2,17083,"JERSEY, ILLINOIS","Jersey County, Illinois"
2,"St Clair County, Illinois","257,412","256,844","254,958","252,265","251,018",6,17163,"ST. CLAIR, ILLINOIS","St Clair County, Illinois"
3,"Washington County, Illinois","13,758","13,723","13,640","13,623","13,536",7,17189,"WASHINGTON, ILLINOIS","Washington County, Illinois"
4,"Atchison County, Kansas","16,347","16,328","16,236","16,053","16,016",8,20005,"ATCHISON, KANSAS","Atchison County, Kansas"
5,"Douglas County, Kansas","118,779","118,784","119,493","120,007","120,553",9,20045,"DOUGLAS, KANSAS","Douglas County, Kansas"
6,"Franklin County, Kansas","25,983","26,000","26,002","25,959","26,125",10,20059,"FRANKLIN, KANSAS","Franklin County, Kansas"
7,"Jefferson County, Kansas","18,360","18,323","18,429","18,354","18,327",11,20087,"JEFFERSON, KANSAS","Jefferson County, Kansas"
8,"Johnson County, Kansas","609,877","611,149","614,889","619,091","622,237",12,20091,"JOHNSON, KANSAS","Johnson County, Kansas"
9,"Leavenworth County, Kansas","81,901","81,966","82,398","82,922","83,518",13,20103,"LEAVENWORTH, KANSAS","Leavenworth County, Kansas"
10,"Miami County, Kansas","34,193","34,224","34,641","34,791","35,320",14,20121,"MIAMI, KANSAS","Miami County, Kansas"
11,"Wyandotte County, Kansas","169,231","168,914","167,262","165,626","165,281",15,20209,"WYANDOTTE, KANSAS","Wyandotte County, Kansas"
12,"Cass County, Missouri","107,823","108,161","109,780","110,357","111,732",16,29037,"CASS, MISSOURI","Cass County, Missouri"
13,"Clay County, Missouri","253,329","254,137","255,871","256,930","259,772",17,29047,"CLAY, MISSOURI","Clay County, Missouri"
14,"Clinton County, Missouri","21,176","21,209","21,213","21,303","21,548",18,29049,"CLINTON, MISSOURI","Clinton County, Missouri"
15,"Crawford County, Missouri","23,054","23,035","22,820","22,659","22,719",19,29055,"CRAWFORD, MISSOURI","Crawford County, Missouri"
16,"Franklin County, Missouri","104,689","104,864","105,307","105,793","106,404",20,29071,"FRANKLIN, MISSOURI","Franklin County, Missouri"
17,"Gasconade County, Missouri","14,794","14,763","14,780","14,772","14,705",21,29073,"GASCONADE, MISSOURI","Gasconade County, Missouri"
18,"Greene County, Missouri","298,913","299,328","301,098","303,197","304,611",1,17061,"GREENE, ILLINOIS","Greene County, Missouri"
19,"Jackson County, Missouri","717,216","717,615","717,875","716,218","718,560",22,29095,"JACKSON, MISSOURI","Jackson County, Missouri"
20,"Jefferson County, Missouri","226,569","226,937","227,993","229,220","231,230",23,29099,"JEFFERSON, MISSOURI","Jefferson County, Missouri"
